date,new_cases,total_cases,new_deaths,total_deaths,new cases (7 day average),new cases (14 day average),cumulative cases (14 day average),S,C,LCG
2020-03-20,22.0,75.0,0.0,0.0,15.428571428571429,13.357142857142858,66.21428571428571,0.9884647755399394,148.6432041529382,5.088472218212914
2020-03-21,0.0,75.0,0.0,0.0,17.0,15.928571428571429,82.14285714285714,0.9855590310281057,177.78162463947737,5.347525881849141
2020-03-22,13.0,88.0,0.0,0.0,21.428571428571427,18.928571428571427,101.07142857142857,0.9821497380661852,211.99851473182852,4.904499910146673
2020-03-23,25.0,113.0,0.0,0.0,19.285714285714285,21.857142857142858,122.92857142857143,0.9782301206537289,245.77915395602264,5.0523214346732015
2020-03-24,20.0,133.0,0.0,0.0,21.285714285714285,23.5,146.42857142857142,0.9739151356991322,265.42353694342563,4.212879465207552
2020-03-25,31.0,164.0,0.0,0.0,27.428571428571427,25.428571428571427,171.85714285714286,0.9692187808934531,288.5976739497735,3.3409659680252433
2020-03-26,24.0,188.0,0.0,0.0,31.428571428571427,25.857142857142858,197.71428571428572,0.9644480147962019,294.91332561732133,3.362497806208495
2020-03-27,36.0,224.0,3.0,3.0,31.571428571428573,24.071428571428573,221.78571428571428,0.9600431914908552,275.80604355365244,1.9087537754062942
2020-03-28,43.0,267.0,0.0,3.0,33.857142857142854,25.214285714285715,247.0,0.9552882320996594,290.33869939707154,1.6064483700492893
2020-03-29,41.0,308.0,1.0,4.0,30.285714285714285,26.0,273.0,0.9504667964239765,300.9047776061642,1.6411716815565933
2020-03-30,26.0,334.0,2.0,6.0,28.857142857142858,27.0,300.0,0.9456163480553724,314.08086441268733,1.5210130161027005
2020-03-31,36.0,370.0,2.0,8.0,29.142857142857142,27.714285714285715,327.7142857142857,0.9405443231538793,324.1284172923196,1.2984753267438984
2020-04-01,6.0,376.0,4.0,12.0,24.571428571428573,28.071428571428573,355.7857142857143,0.9354471958509764,330.09422194569936,1.150673666151869
2020-04-02,14.0,390.0,2.0,14.0,22.571428571428573,27.214285714285715,383.0,0.9304900181488204,321.71988631614147,0.9119228626499476
2020-04-03,38.0,428.0,1.0,15.0,23.857142857142858,26.857142857142858,409.85714285714283,0.9256684983194802,319.1515882466693,0.7641173568812656
