date,trips between parishes,users making trips between parishes,users making trips,total trips,users present,entrances,stay home users,portion of users staying home,fraction of people not staying home,trips between parishes from La Massana,trips between parishes from Sant Julià de Lòria,90th percentile trips,indoor interaction potential,outdoor interaction potential,interaction potential
2020-03-27,44180,25243,33887,268031,61057.0,297.0,20090,0.3783427495291902,0.6216572504708098,5065,2336,14.0,137976.64484126982,168197.98015873018,306174.625
2020-03-28,32649,18391,29259,233090,60767.0,217.0,23499,0.4441483329553187,0.5558516670446814,3734,1419,13.0,109805.79365079364,155940.92857142858,265746.72222222225
2020-03-29,29052,16118,27856,218821,60626.0,203.0,24611,0.46624104876292954,0.5337589512370704,3149,1098,12.0,103537.25198412697,154020.95634920642,257558.2083333334
2020-03-30,42453,24216,33178,260988,60680.0,396.0,20247,0.38378573053301995,0.6162142694669801,4668,2348,14.0,137940.64484126982,177760.17460317453,315700.81944444444
2020-03-31,44298,25609,33561,268563,60631.0,466.0,19853,0.37701057748912814,0.6229894225108719,4884,2376,14.0,136675.11904761902,176340.4087301587,313015.5277777777
2020-04-01,45687,28934,35382,290213,60627.0,529.0,16349,0.3344106036122645,0.6655893963877355,4575,2136,15.0,152403.22222222216,209619.3333333333,362022.55555555545
2020-04-02,43710,27689,34783,282581,60610.0,510.0,17010,0.3477603091202748,0.6522396908797252,4339,2040,15.0,143878.94642857142,193620.56746031746,337499.51388888893
2020-04-03,46735,30242,36032,296218,60653.0,551.0,16078,0.3282497294869439,0.671750270513056,4829,2220,15.0,151051.50793650802,196519.93650793645,347571.44444444444
2020-04-04,34161,20984,30525,242316,60406.0,326.0,19937,0.407801345906032,0.592198654093968,3565,1273,13.0,108701.54960317463,159988.95039682538,268690.5
2020-04-05,29281,17015,28050,225506,60319.0,242.0,21714,0.4441944194419442,0.5558055805580557,3100,925,13.0,95582.72619047614,147628.73214285707,243211.4583333332
2020-04-06,44793,28917,36396,291448,60651.0,629.0,15803,0.322477298234874,0.677522701765126,4741,2085,15.0,147427.5952380952,178152.68253968254,325580.2777777777
2020-04-07,44565,28464,34273,278757,60484.0,450.0,17586,0.3593159389493901,0.6406840610506099,4491,2064,14.0,136872.3531746032,181236.6329365079,318108.98611111107
2020-04-08,44719,28735,34370,276947,60525.0,468.0,17459,0.35656809084225144,0.6434319091577485,4581,2200,14.0,135569.26587301586,177911.90079365086,313481.16666666674
